Quality	#1 ID	#2 ID	#1 Sentence Length	#2 Sentence Length	#1 Tree Size	#2 Tree Size	#1 Tree Depth	#2 Tree Depth	APTED
0	1849508	1849367	16	14	48	40	9	10	28.0
1	1685339	1685429	29	30	89	86	19	13	43.0
1	2624848	2624568	31	25	82	68	10	10	29.0
1	2293340	2293455	23	19	66	54	16	13	23.0
1	2750203	2750153	16	14	48	38	10	8	30.0
0	2622625	2622698	20	27	55	74	8	8	23.0
1	1946553	1946598	14	20	41	59	9	12	21.0
1	2216702	2216672	12	13	39	40	8	9	22.0
1	742090	742015	31	29	90	84	13	16	28.0
1	1795859	1795818	23	28	62	74	8	10	25.0
1	2592956	2592914	30	29	81	77	13	11	53.0
1	2845442	2845257	27	28	77	76	15	12	53.0
0	2305958	2306072	26	18	67	48	8	6	35.0
0	2156094	2155607	23	21	61	53	8	7	48.0
1	758342	758501	18	18	55	55	10	9	28.0
0	869467	869240	23	19	62	50	9	7	40.0
1	1465425	1464865	30	21	82	64	11	11	33.0
0	223008	222987	18	24	51	66	9	12	53.0
1	1168132	1167672	32	32	91	96	13	17	31.0
1	1634651	1634798	31	30	87	85	10	10	15.0
1	2189818	2189911	32	32	87	93	11	12	20.0
1	995311	995560	32	29	92	84	10	13	42.0
0	554534	554959	24	23	72	65	15	12	27.0
1	14874	14831	19	15	56	44	11	7	41.0
1	1967578	1967664	25	24	74	70	15	13	20.0
1	317570	317290	30	22	88	63	11	11	28.0
1	2047034	2046820	28	22	85	63	14	11	49.0
1	84518	84541	25	26	74	76	12	13	17.0
1	2046630	2046644	24	26	66	69	12	11	25.0
0	706709	706766	23	25	61	65	7	6	34.0
0	2086071	2086118	21	16	62	48	11	10	36.0
1	2521336	2521360	20	18	56	51	12	11	17.0
1	3264615	3264641	24	29	75	91	21	24	24.0
1	262374	262921	23	20	66	58	15	13	22.0
1	2939925	2939981	27	20	80	61	20	15	30.0
0	2810464	2810247	18	14	50	39	8	8	46.0
1	2031076	2031038	16	11	49	34	11	8	32.0
1	27639	27668	14	13	42	40	8	12	32.0
0	143800	143664	22	18	61	52	11	9	30.0
1	1909408	1909429	17	16	47	48	8	9	36.0
1	3034583	3034604	24	25	66	71	9	13	21.0
1	1257820	1257777	28	26	81	76	10	13	28.0
0	2221603	2221633	19	17	50	44	7	6	28.0
1	2706551	2706185	27	25	77	69	11	11	18.0
0	2975580	2975607	13	13	37	36	9	7	19.0
1	813945	813925	18	14	48	38	8	7	17.0
1	2851677	2851855	31	25	83	69	11	11	16.0
1	895812	895754	27	25	76	72	9	9	13.0
1	2534473	2534504	21	25	65	73	13	18	25.0
0	1487731	1487197	25	29	75	83	15	11	39.0
1	3285348	3285324	22	23	57	62	9	9	11.0
1	424071	424093	20	15	56	44	8	11	34.0
0	1677100	1677041	17	14	46	39	7	7	19.0
1	2404345	2404222	21	28	61	82	11	11	40.0
1	2485432	2485492	18	20	55	56	15	12	19.0
1	981097	981018	22	26	57	72	9	9	31.0
1	2607361	2607320	21	26	60	77	9	9	34.0
1	218896	219064	28	33	76	91	10	12	36.0
1	313947	313222	17	18	48	53	8	12	32.0
1	434842	434929	24	17	64	46	7	8	32.0
0	3301764	3301492	20	15	59	43	7	7	25.0
1	2895172	2895264	27	20	79	61	18	16	22.0
1	386627	386521	18	26	53	75	12	12	26.0
1	3440566	3440416	17	15	47	42	11	8	32.0
1	853127	853144	20	22	58	66	12	13	13.0
0	146481	146276	17	20	47	58	7	12	42.0
1	1053869	1053207	22	32	64	91	14	13	31.0
1	1026659	1026185	28	25	87	78	16	13	45.0
1	1341925	1342201	23	21	65	61	12	12	14.0
1	2663667	2663623	25	27	72	78	16	16	18.0
1	2305924	2305736	25	24	72	69	12	12	27.0
1	960466	960881	28	27	76	71	12	10	46.0
1	129995	129864	33	33	91	90	13	15	29.0
1	356759	356778	30	34	86	90	17	13	56.0
0	919683	919782	19	18	52	50	9	9	28.0
1	2949437	2949407	21	16	56	49	11	14	29.0
0	1651582	1651639	21	17	60	51	9	9	35.0
1	3088078	3087945	26	28	75	81	13	15	27.0
1	1032643	1032617	19	25	56	71	11	10	30.0
1	1750630	1750716	24	24	64	64	9	12	33.0
1	2891280	2891366	26	30	73	85	10	10	21.0
1	2866295	2866282	24	18	66	49	9	10	53.0
1	822517	822439	24	24	61	60	7	8	36.0
1	1502941	1502927	34	31	93	84	12	12	17.0
0	970740	971209	15	16	39	44	6	8	28.0
1	1243593	1243934	32	32	100	97	12	13	45.0
0	130656	130644	13	15	39	42	8	6	16.0
1	221462	221512	18	24	54	67	13	13	27.0
0	1632415	1632603	13	13	39	38	9	11	26.0
1	2451691	2451742	14	13	39	37	7	7	16.0
1	2282608	2282544	23	20	64	57	12	12	30.0
0	2677852	2677869	13	16	34	42	6	6	15.0
1	379724	379692	20	21	54	56	7	7	34.0
1	1156575	1156706	25	24	73	70	13	13	30.0
1	2745055	2745022	20	22	51	59	7	8	39.0
1	3403347	3403527	15	16	45	51	9	13	39.0
1	2037906	2038005	21	18	57	50	10	10	22.0
1	698720	698772	26	25	76	77	14	15	36.0
1	2359387	2359457	20	18	58	51	10	9	34.0
1	2403178	2403100	26	22	74	62	11	11	45.0
1	2205838	2205858	24	18	68	52	10	10	28.0
1	1669602	1669461	32	26	90	70	12	11	41.0
1	919801	919939	30	27	83	73	13	12	42.0
1	578807	578726	25	25	80	76	12	12	19.0
1	3277653	3277637	31	22	88	58	15	7	57.0
1	661322	661390	24	20	70	61	16	14	17.0
0	1586193	1586070	22	30	62	84	9	10	51.0
1	1200470	1200432	20	19	55	51	10	9	19.0
0	2973611	2973628	19	22	52	62	12	10	42.0
1	1941701	1941639	32	28	94	82	12	11	29.0
0	490219	490021	18	22	51	58	11	7	49.0
1	421009	421091	14	17	43	51	11	9	42.0
1	14485	14516	21	25	61	75	15	15	18.0
1	549014	549093	31	26	85	72	10	7	26.0
1	3326623	3326701	23	16	62	45	12	10	28.0
1	1106490	1106299	26	32	71	90	9	11	38.0
1	607219	607092	30	26	86	74	12	12	29.0
0	518130	518082	28	36	79	99	9	9	37.0
1	3092593	3092563	30	28	81	77	10	10	13.0
0	1707092	1707031	21	14	55	38	7	7	23.0
1	1755505	1755464	21	17	59	48	10	9	25.0
0	2199097	2199072	17	22	49	63	10	11	42.0
1	2015140	2014900	28	29	76	78	10	10	11.0
1	1449187	1449290	17	22	51	64	11	12	18.0
1	1988626	1988386	24	25	70	74	15	18	25.0
1	844524	844667	23	20	66	61	14	17	36.0
1	1860173	1860195	23	30	61	77	10	10	18.0
0	3050444	3050380	21	20	55	57	9	7	45.0
0	1199589	1200000	27	22	77	67	13	13	22.0
1	1609290	1609098	31	30	88	86	13	14	38.0
1	2746028	2746125	13	19	37	58	10	12	40.0
0	2874608	2874685	18	22	52	65	10	10	31.0
0	221078	221002	26	19	69	51	8	8	44.0
1	1917187	1917262	24	27	69	78	11	13	35.0
1	1102668	1102548	21	20	55	58	6	11	39.0
0	2115214	2115266	17	23	50	69	9	10	22.0
1	374264	374624	23	25	64	70	9	9	10.0
1	1597193	1597119	21	16	59	46	13	12	22.0
0	199754	200007	18	25	46	68	6	10	34.0
1	1469800	1469789	14	21	40	60	7	9	43.0
1	2206809	2206624	19	15	53	41	7	7	42.0
1	1970041	1969914	33	33	90	92	9	9	22.0
1	20917	20853	32	31	93	83	20	13	56.0
0	1837647	1837204	13	12	38	35	8	8	30.0
1	2758944	2758975	22	17	64	46	13	9	43.0
1	375678	375561	12	17	35	48	8	9	38.0
1	1122033	1122090	14	14	39	40	7	10	37.0
0	222911	223008	23	18	63	51	8	9	40.0
0	3257010	3257120	27	34	79	96	18	17	29.0
1	1600347	1600451	17	14	52	45	8	10	30.0
1	2081769	2081787	29	27	82	75	13	10	28.0
0	384190	384162	20	13	55	37	8	9	28.0
1	1815004	1815055	12	16	33	43	8	8	28.0
1	707747	707671	30	30	93	93	16	16	18.0
1	1705771	1705922	18	16	49	45	8	9	13.0
1	716883	716599	23	17	63	49	9	7	29.0
0	3407319	3407282	20	23	54	64	8	10	52.0
0	1723092	1723130	22	22	63	58	12	7	54.0
1	516719	516884	16	18	47	48	10	9	36.0
1	3020180	3020057	21	20	58	55	9	7	20.0
1	1694765	1694755	31	31	81	85	13	17	34.0
1	516797	516591	23	28	63	81	8	11	27.0
1	2195720	2195935	31	27	85	74	9	9	20.0
1	1971109	1970905	24	22	64	57	9	8	25.0
0	36516	36820	26	25	73	70	12	7	33.0
1	512669	512160	24	25	71	71	16	14	55.0
0	3179542	3179284	14	19	37	53	6	8	29.0
1	2362699	2362767	21	24	62	72	9	13	23.0
1	1396775	1396739	32	27	79	70	6	7	17.0
1	1828398	1828187	33	29	98	86	18	17	37.0
0	660850	660781	23	29	66	84	10	12	49.0
1	2221864	2221924	26	31	72	87	15	15	34.0
1	171025	171076	16	18	44	48	9	7	39.0
1	921290	921224	36	33	93	85	12	11	28.0
1	2129222	2128773	14	19	38	56	7	11	26.0
1	3214358	3214672	19	21	59	60	14	14	47.0
1	2976142	2976104	16	19	45	54	8	9	22.0
1	374383	374044	23	19	68	58	17	17	20.0
1	2820522	2820367	13	15	37	43	9	10	16.0
1	2733221	2733357	25	24	67	66	8	9	28.0
1	1711097	1711149	15	14	44	37	11	7	26.0
1	2806874	2806929	23	31	67	87	12	14	48.0
1	1075019	1075000	12	17	40	55	13	14	19.0
0	2584416	2584653	19	22	60	59	16	11	37.0
1	403037	402971	27	31	81	92	17	13	26.0
1	2706183	2706157	26	24	76	69	13	12	17.0
0	3444060	3444025	21	19	61	56	11	14	42.0
1	3419852	3419777	29	28	84	80	15	11	21.0
0	2866150	2866091	22	16	66	47	10	9	29.0
1	3438803	3438780	27	26	78	76	13	17	28.0
1	2068941	2068953	21	27	58	76	10	10	39.0
1	1513487	1513246	25	22	72	63	13	12	29.0
1	3017237	3017177	32	26	90	73	16	15	28.0
1	2852816	2852668	27	20	79	58	12	12	47.0
0	2265154	2265322	20	26	55	72	9	9	21.0
0	787110	787340	15	13	41	35	8	6	37.0
1	2173504	2173632	30	28	81	76	15	14	30.0
1	1423378	1423284	20	27	59	77	13	11	36.0
1	811375	811232	18	21	49	56	7	7	10.0
0	1719820	1719843	22	19	59	50	9	7	41.0
1	2413690	2413644	28	30	76	78	11	10	36.0
0	1918139	1918289	22	28	63	78	12	11	35.0
1	2121942	2121914	19	17	48	47	8	9	16.0
1	3207268	3207178	21	24	62	66	15	11	54.0
1	2186840	2186895	28	32	77	92	13	20	45.0
0	53408	52986	18	27	57	76	14	13	39.0
1	519554	519592	20	21	55	60	8	10	29.0
1	563634	563375	23	23	66	69	12	12	25.0
1	1895295	1895167	27	28	75	83	14	17	39.0
1	243946	243684	18	16	51	44	11	10	23.0
1	2158059	2158105	21	21	60	58	13	11	28.0
0	1661234	1661305	28	27	85	81	15	18	33.0
1	86007	86373	29	28	78	76	9	10	31.0
0	785613	785760	29	18	87	55	14	10	54.0
1	3214303	3214275	32	27	87	74	17	13	45.0
0	2595060	2594823	25	21	64	55	9	7	58.0
1	1211461	1211115	25	27	69	75	9	9	11.0
1	2359454	2359412	9	9	24	25	5	5	21.0
1	2396334	2396148	24	19	68	54	12	11	44.0
1	2086276	2086477	17	16	48	44	9	9	20.0
0	365851	365967	13	19	36	54	9	10	22.0
0	3389319	3389272	18	13	56	38	9	7	23.0
1	381187	381127	24	24	66	68	11	11	33.0
1	3133311	3133486	28	22	79	65	12	9	34.0
1	4155	4143	19	15	53	42	11	9	14.0
1	1602860	1602844	16	22	52	66	16	16	18.0
1	1410958	1410938	23	22	67	66	14	17	28.0
0	1057006	1057044	15	12	43	33	7	7	25.0
1	1880897	1880746	15	22	42	62	7	7	34.0
0	1825334	1825496	21	25	61	74	12	13	25.0
1	1201306	1201329	23	22	68	60	17	12	30.0
1	426940	426546	15	17	44	47	10	8	30.0
1	2377834	2377805	23	23	67	68	13	13	12.0
0	461779	461815	22	17	60	47	10	10	35.0
1	1789339	1789525	34	23	91	65	13	9	59.0
1	2136052	2136150	29	36	83	100	18	17	41.0
1	2778138	2777737	31	22	86	58	12	10	36.0
0	748187	748228	15	22	40	58	8	9	19.0
1	2232493	2232381	24	31	71	94	15	16	58.0
0	707136	707112	32	27	96	77	14	10	59.0
1	3153774	3153722	31	25	89	75	17	17	26.0
0	1077014	1077138	22	27	68	75	19	13	29.0
1	3093840	3093801	20	16	54	44	10	10	15.0
0	195800	196144	32	25	86	66	11	8	38.0
0	62641	62810	9	11	25	33	6	9	25.0
1	436562	435307	15	15	46	40	7	7	36.0
1	2770513	2770488	23	20	65	57	10	10	34.0
0	2578315	2578177	18	13	51	36	8	6	27.0
0	1477738	1477593	30	21	85	57	13	9	62.0
1	840255	840252	26	29	74	84	11	15	29.0
1	833170	833200	28	28	84	84	12	12	9.0
0	96043	95895	20	28	60	83	15	18	30.0
1	423224	423238	27	23	71	58	8	8	18.0
1	1438666	1438643	26	27	73	76	11	10	31.0
1	1454800	1454816	26	28	77	76	12	9	46.0
1	1834832	1834844	25	21	68	58	8	8	44.0
1	1112726	1112799	18	18	50	52	7	12	29.0
1	1745242	1745319	15	12	43	34	10	8	14.0
1	3261484	3261306	25	26	71	75	13	14	46.0
0	487684	487726	27	33	73	91	8	13	41.0
0	1479716	1479628	20	21	50	55	6	7	23.0
0	2744405	2744474	23	26	66	72	9	9	21.0
0	71277	71611	19	19	52	56	7	10	41.0
0	2761988	2762223	19	16	54	45	12	11	28.0
0	1992231	1991706	21	22	60	64	12	16	35.0
1	1277539	1277527	14	18	40	49	9	8	34.0
1	3329063	3328961	16	15	45	43	7	8	35.0
1	1240324	1240337	24	23	71	67	13	13	40.0
0	71627	71277	23	19	62	52	9	7	42.0
1	2933398	2933345	24	25	68	70	12	12	8.0
1	3035788	3035918	18	19	52	56	12	12	21.0
0	2760910	2760810	19	25	50	68	7	10	28.0
0	1946147	1946054	23	27	63	74	9	9	51.0
0	132553	132725	29	29	83	83	14	16	60.0
0	2259788	2259747	29	31	79	89	10	12	73.0
1	545820	545924	13	17	37	48	8	9	29.0
0	2307064	2307235	22	32	62	91	10	11	47.0
1	3375314	3375284	21	21	59	61	10	13	28.0
1	490481	490000	24	23	69	68	13	11	28.0
1	767107	767069	26	24	74	71	12	12	13.0
1	2168292	2168033	31	29	95	91	17	24	43.0
0	2695011	2694981	31	28	91	86	13	16	47.0
1	2745018	2745058	28	26	77	71	13	13	21.0
1	283615	283692	30	28	85	80	13	13	11.0
1	2108841	2108868	26	24	71	67	12	10	35.0
1	1355591	1355674	31	31	84	84	14	14	17.0
0	882790	883117	23	13	59	35	7	6	37.0
1	2106411	2106397	25	26	79	82	20	20	33.0
1	121265	121424	24	33	73	98	13	16	44.0
1	1438940	1438953	33	30	92	85	16	14	63.0
1	3046488	3046824	23	20	66	54	8	6	47.0
1	86020	86007	28	29	74	78	10	9	36.0
1	2264198	2264212	24	26	72	74	17	12	41.0
1	3446507	3446446	26	23	73	64	13	12	16.0
0	1100998	1100441	19	17	57	50	12	8	24.0
1	2816735	2816723	15	15	41	44	6	7	15.0
0	869698	869240	28	19	71	50	7	7	45.0
1	3236313	3236263	26	21	75	60	13	10	21.0
1	185929	186026	17	18	47	50	9	10	17.0
0	1096383	1096756	21	20	53	52	7	6	25.0
1	2587263	2587322	25	25	68	68	8	9	67.0
0	3327147	3327230	19	13	48	38	6	6	26.0
1	1071229	1071350	21	26	56	69	10	10	32.0
1	2268396	2268480	12	15	37	43	12	9	24.0
1	612073	612012	23	24	64	65	11	10	25.0
1	448932	449039	21	15	59	40	12	8	32.0
0	2461162	2461313	13	18	38	49	10	10	33.0
0	219579	219615	22	19	61	56	8	14	47.0
1	2190158	2190221	16	21	45	54	10	8	27.0
1	1908453	1908347	7	9	20	25	5	6	8.0
1	432251	432116	20	23	58	64	10	12	52.0
1	1908277	1908617	16	15	48	45	11	13	28.0
1	1534422	1534369	25	29	72	84	16	18	37.0
0	2982472	2982545	12	19	33	50	8	8	39.0
0	394015	394435	28	20	83	61	16	13	32.0
0	1984039	1983986	26	16	71	47	13	12	36.0
0	2697659	2697747	19	20	53	58	8	11	36.0
1	1372366	1372589	27	30	81	86	17	11	35.0
1	1480802	1481397	25	24	73	66	11	11	16.0
1	1491648	1491625	22	26	65	75	15	16	21.0
1	2895263	2895171	23	20	66	59	9	11	47.0
1	864148	863719	26	27	74	78	11	12	31.0
0	84742	84613	13	13	36	35	8	7	22.0
1	953485	953537	20	24	53	62	7	10	45.0
0	2580240	2579902	25	32	73	97	10	11	51.0
0	2175939	2176090	24	19	64	50	8	6	24.0
1	239902	239998	10	13	26	35	6	8	17.0
1	1618493	1618463	12	13	37	38	8	11	30.0
1	2250458	2250584	33	26	92	73	16	15	30.0
0	2635000	2634945	14	12	38	32	9	7	17.0
1	3238456	3238508	13	17	35	48	6	11	29.0
1	3306448	3306659	25	31	69	83	14	11	29.0
1	2610846	2610727	20	20	60	56	11	10	25.0
1	1793557	1793618	24	30	69	86	14	15	27.0
1	886618	886456	24	25	68	69	13	11	21.0
1	2754612	2754633	19	18	59	53	17	14	24.0
0	1617344	1617290	24	32	68	92	8	11	46.0
1	153199	153213	17	25	48	68	12	9	41.0
1	2444519	2444508	15	18	41	50	8	8	30.0
1	2398178	2398195	25	29	72	82	15	15	27.0
0	2221435	2221631	21	22	55	58	7	7	30.0
1	1332049	1331979	29	29	85	81	21	13	70.0
1	516583	516789	14	15	38	44	9	10	28.0
0	914018	913889	17	20	46	54	8	7	28.0
1	2077064	2077087	18	20	48	57	7	11	25.0
1	395858	396195	24	29	74	84	11	13	19.0
0	2758909	2758887	22	17	64	53	9	11	36.0
1	425412	425310	14	15	42	45	8	8	11.0
1	2264210	2264194	23	24	63	65	11	9	46.0
1	1643239	1643042	24	24	71	73	14	14	21.0
1	2330167	2330142	20	16	59	45	10	7	25.0
1	2030917	2030877	30	30	88	88	11	11	7.0
0	1091180	1091301	24	21	68	60	12	12	35.0
0	302467	302688	22	29	67	87	13	12	47.0
1	2011783	2011647	31	28	86	80	10	11	30.0
1	754162	753958	29	29	84	84	16	16	17.0
1	232430	232714	21	23	60	66	11	8	27.0
1	2759168	2759156	33	25	91	70	9	8	37.0
0	1288150	1287646	22	18	58	51	10	9	30.0
1	2524160	2524303	19	23	55	70	8	13	30.0
0	1668236	1668179	16	20	49	62	12	12	31.0
0	1957823	1957694	30	29	86	80	16	12	42.0
1	2007711	2007677	24	21	68	62	11	12	23.0
1	1297519	1297825	24	24	69	70	13	12	30.0
0	513165	513247	17	12	46	36	9	9	36.0
1	1909555	1909331	23	24	62	62	8	8	25.0
1	588637	588864	26	28	87	91	14	15	20.0
0	2252795	2252970	16	13	48	38	11	10	38.0
1	2668688	2668644	30	31	81	82	10	10	62.0
1	1851377	1851386	22	24	61	67	9	13	30.0
1	1641980	1642291	26	26	73	71	15	15	18.0
1	1756329	1756394	21	22	56	60	9	9	29.0
1	299689	299752	16	16	49	46	14	11	29.0
0	2282307	2282491	12	15	32	41	6	8	39.0
1	3118600	3118635	13	19	37	55	9	9	21.0
1	1673112	1673068	18	20	53	55	13	11	27.0
1	3127902	3127435	37	30	98	79	12	10	36.0
0	770718	770731	29	31	78	89	10	16	66.0
0	2654770	2654751	18	21	49	56	8	7	24.0
1	1093844	1093616	21	21	59	60	10	10	35.0
0	1722079	1721812	21	17	62	51	11	9	17.0
0	1545909	1546212	32	30	82	85	11	10	72.0
0	126769	126737	28	19	83	54	15	11	39.0
1	3142048	3142198	26	20	71	54	10	9	33.0
0	2609476	2609428	20	21	55	56	8	8	49.0
1	967485	967554	31	31	89	85	16	16	35.0
0	229207	229298	33	28	91	80	14	15	32.0
1	2357324	2357271	14	14	42	42	10	10	19.0
0	1438120	1437645	28	31	75	87	10	12	24.0
0	1378077	1378273	15	17	40	46	7	7	13.0
1	47037	47072	27	28	74	81	7	16	53.0
1	1964547	1964856	24	19	64	51	8	8	40.0
1	1149319	1149377	24	31	65	83	10	10	29.0
1	1591361	1591597	13	16	39	48	9	11	24.0
1	2568019	2567975	22	16	63	46	12	9	30.0
1	2375172	2375137	27	27	79	78	13	13	9.0
1	780408	780363	18	15	52	47	12	11	17.0
0	117397	116930	19	14	50	39	8	9	38.0
0	494836	494848	21	16	58	42	9	7	33.0
1	1278159	1278426	20	19	59	53	11	13	21.0
1	2715952	2715935	18	21	56	62	15	15	20.0
0	1244546	1244687	31	33	89	94	16	14	87.0
0	2590100	2589773	12	11	33	32	6	8	32.0
0	585263	585343	13	12	35	33	7	7	26.0
1	2555777	2555594	22	27	61	74	10	12	16.0
0	953802	953744	15	22	41	57	7	7	27.0
1	1629945	1629901	26	25	75	70	14	11	12.0
1	821523	821385	17	18	49	51	9	11	30.0
1	2555766	2555591	33	33	92	92	10	10	21.0
1	1979300	1979257	13	16	37	45	8	7	17.0
1	3292858	3292499	31	33	88	97	14	15	41.0
1	725414	725148	18	18	57	50	13	9	41.0
0	1687491	1687417	17	16	46	45	8	6	29.0
1	1315389	1315289	21	21	58	56	9	8	38.0
0	1571024	1571088	21	24	59	65	10	9	39.0
1	2467980	2467938	21	17	63	51	16	9	24.0
1	1272006	1271919	28	19	81	56	10	10	28.0
1	2304696	2304863	20	23	57	67	11	13	26.0
1	1737201	1737431	13	15	40	45	11	12	16.0
1	2383164	2382951	32	23	91	68	19	16	48.0
0	85769	85654	32	37	89	100	17	13	73.0
1	1547970	1548372	27	27	75	75	14	12	15.0
0	1834966	1835064	23	21	69	61	16	13	16.0
1	1952106	1951806	31	23	86	64	14	11	36.0
1	2727208	2727256	30	25	78	67	12	8	58.0
0	3448494	3448458	28	27	69	67	6	6	25.0
1	1179259	1179239	25	24	68	67	10	11	40.0
1	758187	758048	14	16	39	45	6	6	15.0
1	1934902	1935161	17	19	50	54	10	7	29.0
1	1057430	1057549	18	21	50	57	8	8	19.0
0	2636355	2636382	17	13	51	41	13	12	24.0
1	2734407	2734397	27	30	77	86	11	9	50.0
1	1017924	1017812	22	25	64	73	11	14	31.0
0	3292852	3292493	33	29	100	84	24	17	49.0
1	2577533	2577526	32	24	87	66	14	14	37.0
0	1580731	1580611	21	18	59	53	9	10	24.0
0	1910414	1910464	15	18	42	53	9	13	32.0
1	2820354	2820518	21	27	62	78	11	13	32.0
1	758287	758501	19	18	57	55	9	9	27.0
1	2531749	2531607	25	32	70	94	9	13	32.0
0	1810937	1810983	13	12	40	34	11	9	22.0
1	3010293	3010036	15	17	46	49	9	10	46.0
1	3180014	3179967	20	18	59	54	16	13	28.0
1	1640498	1640420	19	20	48	51	6	8	18.0
